Póstnúmer;Staður;Heimilisfang
101;Reykjavík - 1;Pósthússtræti 5
102;(Millilanda Póstur);Póstmiðstöð, Stórhöfða 32
103;Reykjavík - 3;Grensásvegi 9  
104;Reykjavík - 4;Grensásvegi 9  
105;Reykjavík - 5;Skipholti 50A 
107;Reykjavík - 7;Eiðistorg 15
108;Reykjavík - 8;Grensásvegi 9 
109;Reykjavík - 9;Nettó í Mjódd Þönglabakka 1
110;Reykjavík - 10;Nóatún Rofabæ 39
111;Reykjavík - 11;Nettó í Mjódd Þönglabakka 1
112;Reykjavík - 12;Nóatún, Hverafold 1-3
113;Reykjavík - 13;Nóatún Rofabæ 39
116;Kjalarnesi;Nóatún, Þverholti 6 (Mosfellsbæ)
121;Reykjavík - 1;Pósthússtræti 5 (pósthólf)
123;Reykjavík - 3;Grensásvegi 9 (pósthólf)
124;Reykjavík - 4;Grensásvegi 9 (pósthólf) 
125;Reykjavík - 5;Skipholti 50A  (pósthólf) 
127;Reykjavík - 7;Eiðistorg 15 (pósthólf)
128;Reykjavík - 8;Grensásvegi 9 (pósthólf) 
129;Reykjavík - 9;Nettó í Mjódd, Þönglabakka 1 (pósthólf)
130;Reykjavík - 10;Nóatún, Rofabæ 39 (pósthólf)
132;Reykjavík - 12;Nóatún, Hverafold 1-3 (pósthólf)
150;Reykjavík;Sérstakt pnr.fyrir fyrirtæki/stofnanir
155;Reykjavík;Sérstakt pnr.fyrir fyrirtæki/stofnanir
170;Seltjarnarnesi;Eiðistorg 15
172;Seltjarnarnesi;Eiðistorg 15 (pósthólf)
190;Vogum;Iðnbúð 2
200;Kópavogi;Nóatún, Hamraborg 18
201;Kópavogi;Nóatún, Hamraborg 18
202;Kópavogi;Nóatún, Hamraborg 18 (pósthólf)
203;Kópavogi;Nóatún, Hamraborg 18
210;Garðabæ;Garðatorgi 5
212;Garðabæ;Garðatorgi 5 (pósthólf)
220;Hafnarfirði;Nóatún, Reykjavíkurvegi 50 
221;Hafnarfirði;Nóatún, Reykjavíkurvegi 50 
222;Hafnarfirði;Nóatún, Reykjavíkurvegi 50 (pósthólf)
225;Álftanesi;Garðatorgi 5 (Garðabæ)
230;Reykjanesbæ;Hafnargötu 89 
232;Reykjanesbæ;Hafnargötu 89 (pósthólf)
233;Reykjanesbæ;Hafnargötu 89 (Keflavík)
235;Keflavíkurflugvelli;Hafnargötu 89 (Keflavík)
240;Grindavík;Víkurbraut 25 
245;Sandgerði;Suðurgötu 2 - 4
250;Garði;Garðbraut 69 
260;Reykjanesbæ;Hafnargötu 89 (Keflavík)
270;Mosfellsbæ;Nóatún, Þverholti 6 (Mosfellsbæ)
300;Akranesi;Kirkjubraut 37
301;Akranesi;Kirkjubraut 37
302;Akranesi;Kirkjubraut 37 (pósthólf)
310;Borgarnesi;Borgarbraut 12  
311;Borgarnesi;Borgarbraut 12  
320;Reykholt í Borgarfirði;Reykholti
340;Stykkishólmi;Aðalgötu 5 
345;Flatey á Breiðafirði;Flatey
350;Grundarfirði;Grundargötu 50
355;Ólafsvík;Bæjartúni 5
356;Snæfellsbæ;Bæjartúni 5 (Ólafsvík)
360;Hellissandi;Klettsbúð 7 
370;Búðardal;Miðbraut 13
371;Búðardal;Miðbraut 13
380;Reykhólahreppi;Króksfjarðarnes
400;Ísafirði;Aðalstræti 18
401;Ísafirði;Aðalstræti 18
410;Hnífsdal;Aðalstræti 18 (Ísafjörður)
415;Bolungarvík;Aðalstræti 19
420;Súðavík;Grundarstræti 3-5
425;Flateyri;Ránargötu 1
430;Suðureyri;Aðalgötu 2
450;Patreksfirði;Bjarkargötu 4
451;Patreksfirði;Bjarkargötu 4
460;Tálknafirði;Strandgötu 38
465;Bíldudal;Lönguhlíð 1
470;Þingeyri;Fjarðargata 2
471;Þingeyri;Fjarðargata 2
500;Stað;Staðarskála
510;Hólmavík;Hafnarbraut 19
512;Hólmavík;Hafnarbraut 19
520;Drangsnesi;Holtagötu 10
522;Kjörvogi;Hafnarbraut 19 (Hólmavík)
523;Bæ;Hafnarbraut 19 (Hólmavík)
524;Norðurfirði;Hafnarbraut 19 (Hólmavík)
530;Hvammstanga;Lækjargötu 2
531;Hvammstanga;Lækjargötu 2
540;Blönduósi;Hnjúkabyggð 32
541;Blönduósi;Hnjúkabyggð 32
545;Skagaströnd;Bogabraut 10
550;Sauðárkróki;Kirkjutorgi 5
551;Sauðárkróki;Kirkjutorgi 5
560;Varmahlíð;Varmahlíð
565;Hofsós;Hofsós
566;Hofsós;Hofsós
570;Fljótum;Aðalgötu 24 (Siglufirði)
580;Siglufirði;Aðalgötu 24
600;Akureyri;Skipagötu 10
601;Akureyri;Skipagötu 10
602;Akureyri;Skipagötu 10
603;Akureyri;Skipagötu 10
610;Grenivík;Ægissíðu 7
611;Grímsey;Flugstöð
620;Dalvík;Hafnarbraut 26
621;Dalvík;Hafnarbraut 26
625;Ólafsfirði;Aðalgötu 14
630;Hrísey;Norðurvegi 6 - 8
640;Húsavík;Garðarsbraut 21
641;Húsavík;Garðarsbraut 21
645;Fosshólli;Garðarsbraut 21 (Húsavík)
650;Laugum;Kjarna
660;Mývatni;Helluhrauni 3
670;Kópaskeri;Bakkagötu 2
671;Kópaskeri;Bakkagötu 2
